user_id,week_index,content
user_201,1,OT 질문인데 파이썬 설치가 자꾸 에러나서 진행이 멈췄어요. 뭘 확인해야 해요?
user_202,1,과제 제출 방식이 헷갈려요. 노션에 링크만 올리면 되나요?
user_203,1,수업 속도가 생각보다 빨라서 따라가기 힘들어요. 복습 루틴 추천 부탁해요.
user_204,1,팀원들끼리 인사도 못하고 바로 과제 들어가서 어색해요. 아이스브레이킹 필요해요.
user_205,1,디스코드 공지 채널이 너무 많아서 뭐가 중요한지 모르겠어요. 정리 기준 필요…
user_206,1,오늘 집중이 안 돼서 진도가 안 나가요. 멘탈 관리 팁 좀요.
user_207,1,강의 자료가 여기저기 흩어져있어서 찾기 힘듦… 한 곳으로 모아주면 좋겠어요.
user_208,1,질문 올려도 답이 늦게 달릴 때가 많아요. Q&A 운영 룰이 있으면 좋겠어요.
user_209,1,과제 난이도가 튀는 느낌이에요. 쉬운-어려운 밸런스가 필요해요.
user_210,1,오프라인이 아니니까 소속감이 너무 없어요. 활동/이벤트가 있으면 좋겠어요.
user_201,1,판다스가 갑자기 확 어려워졌어요. 예제 더 많이 보고 싶어요.
user_202,1,팀 프로젝트 역할 분담이 애매해요. 기준 템플릿 있으면 좋겠어요.
user_203,1,저만 뒤처지는 느낌이라 불안해요. 중간 점검/피드백이 있었으면…
user_204,2,멘토링 신청 방법이 복잡해요. 버튼 하나로 신청되게 하면 좋겠어요.
user_205,2,공지에서 마감 시간이 자주 바뀌는 느낌… 확정 공지 기준이 필요합니다.
user_206,2,과제 피드백이 ‘좋아요’ 수준이라 아쉬워요. 개선 포인트를 더 구체적으로 받고 싶어요.
user_207,2,디스코드에서 질문이 너무 묻혀요. 질문 채널을 분리하거나 태그가 있으면 좋겠어요.
user_208,2,수업 자료에 오타가 있어요. 수정되면 알림이 왔으면 좋겠어요.
user_209,2,야근 때문에 참여가 들쭉날쭉해요. 리플레이/요약이 있으면 좋겠어요.
user_210,2,운영진 공지가 너무 딱딱해요. 핵심만 한 줄 요약도 같이 있으면 좋겠어요.
user_201,3,EDA 할 때 뭘 봐야할지 모르겠어요. 체크리스트가 필요해요.
user_202,3,실습 문제 풀이 시간이 부족해요. 수업 중 실습 비중을 늘려주세요.
user_203,3,팀원 중 한 명이 잠수예요. 운영진介入 기준이 있나요?
user_204,3,요즘 너무 지쳐요… ‘그만두고 싶다’는 생각이 들 때가 있어요. 상담 창구가 있으면 좋겠어요.
user_205,3,과제 제출 마감이 너무 빡빡해요. 하루만 더 있었으면 완성도가 올라갈 듯…
user_206,3,질문 답변이 특정 사람에게만 몰려요. 멘토가 더 필요해 보여요.
user_207,3,피드백 보드 글이 쌓이기만 하고 개선되는 느낌이 없어요. 처리 현황이 보이면 좋겠어요.
user_208,3,오늘 수업 이해가 안 됐는데 질문할 용기가 안 났어요. 익명 질문 기능 있으면 좋겠어요.
user_209,3,솔직히 운영이 좀 답답합니다… 공지/정책이 자주 바뀌니까 불안해요.
user_210,3,팀 프로젝트 주제 선정이 너무 어렵습니다. 예시 리스트/난이도 가이드가 있으면 좋겠어요.
user_201,4,모델링 파트 들어가니까 수학 얘기 나오면서 멘붕… 최소 선행 학습 가이드가 필요해요.
user_202,4,과제 스펙이 길어서 어디까지 해야 하는지 모르겠어요. 필수/선택을 나눠주세요.
user_203,4,질문에 답이 없을 때 “언제까지 답변” 같은 SLA가 있으면 좋겠어요.
user_204,4,가끔 공지에 중요한 내용이 뒤에 숨어있어요. 핵심 먼저 상세는 접기처럼 구성되면 좋겠어요.
user_205,4,팀원 간 일정이 안 맞아요. 공통 시간대 찾는 도구가 있으면 좋겠어요.
user_206,4,실습 환경 세팅이 너무 오래 걸려요. 표준 환경(도커/가이드) 제공 부탁…
user_207,4,오늘 진짜 ㅅㅂ… 과제가 너무 갑자기 어렵게 느껴졌어요. 단계형 과제로 해주세요.
user_208,4,운영진 답변이 가끔 모호해요. “정책/규칙” 문서화가 필요합니다.
user_209,4,중간에 체크포인트가 없어서 방향이 맞는지 모르겠어요. 주간 리뷰가 있으면…
user_210,4,속닥숲에 글 쓰는 사람만 계속 씀. 참여 유도(뱃지/이벤트) 있으면 좋겠어요.
